Sample ID,Shannon,Simpson,Evenness
PN051-01,3.2488421909729,0.943181489893057,0.818287990332239
PN027-01,3.1499035604626,0.932946428571429,0.859792700305808
PL027-01,3.11172875682949,0.928882985146721,0.827323370497049
PL005-01,3.05822700000838,0.933233106929045,0.840729776758996
PN007-01,3.05114887499963,0.920115254538982,0.75143250799844
< ALL >,3.038506648953,0.915095564748742,0.635787431174902
PN005-1,2.96132912883241,0.92473809116841,0.777933199171299
PL007-01,2.94330029387188,0.91972921670664,0.737857123396358
CD020-01,2.82087044897318,0.905355628771507,0.736781055431294
CE050-01,2.77935329267483,0.908134494802845,0.788164815614637
CE047-02,2.75411513529075,0.886409612278279,0.751758916954578
PN003-01,2.73072773304719,0.906624438788641,0.774375652740278
PL050-01,2.72139054842361,0.883808690019122,0.692144261376614
PN033-01,2.71275441702176,0.887280197530864,0.708542309423229
PN024-01,2.68230842771768,0.883582330966223,0.78110612183246
PN049-01,2.63913508160009,0.864426956276975,0.67812357186207
PN022-01,2.63467098183181,0.842440329303444,0.688147755035985
CD019-01,2.63458226009288,0.88802649105834,0.714195812811048
CD022-01,2.62660205741470,0.909893034085538,0.876781306728265
PN004-01,2.59175656491119,0.894527745738818,0.79548182034074
PL008-01,2.57540512607609,0.881569227629834,0.702978515127996
CB017-01,2.54817836149274,0.862664384143316,0.700513541013806
PN008-01,2.54468616342794,0.87586589962309,0.790551205414124
PN050-01,2.51407137508117,0.857396449704142,0.746614346352596
PN001-01,2.51227628591415,0.858518867628114,0.685746966635114
PL004-01,2.51068187160946,0.874004191813338,0.724429657084157
PL040-01,2.50962430061944,0.862645306526422,0.659271555427775
PL031-01,2.49978593525394,0.86311791106537,0.72795435346671
PL024-01,2.49809272285003,0.84300154207768,0.691816536206083
PL009-01,2.48204148033929,0.867240781391298,0.637758501219661
PL049-01,2.47539288511863,0.839804233923653,0.620557228663447
PN053-01,2.47207398180297,0.835046634067084,0.674773409208108
PN009-01,2.46149177145624,0.852456159417727,0.676682740524115
PL052-01,2.45638457199844,0.873328544883244,0.67049085269071
CB019-01,2.41889336083680,0.878158956461474,0.639210397691463
CD021-01,2.40872179743745,0.867288701222218,0.672166615777732
CB024-01,2.39661185244506,0.827601248999154,0.704637685941602
CB005-01,2.38498240023926,0.847218858131488,0.708278250755545
PN043-01,2.38366483699411,0.807331489889062,0.612480704248168
CB032-01,2.37606944259446,0.854850335513638,0.639833938836997
PL030-01,2.36643485951638,0.856917222166949,0.65535548488375
PL022-01,2.35144637267770,0.808240964440506,0.705672885771968
CA009-01,2.33557449345394,0.830501574815499,0.637514724481667
CE046-01,2.33123864105406,0.796284627412542,0.699608512603413
PL001-01,2.28942252686796,0.852030325443787,0.694640730092784
CD032-01,2.28719947036825,0.846213822717299,0.60084115061807
PL003-01,2.26387708543095,0.825542248936396,0.641986850076078
CB040-01,2.25713582952131,0.847572709988505,0.616104230675591
CD012-01,2.24613859090429,0.81728470312296,0.648098601249388
PL041-01,2.23117312347633,0.782556204368755,0.627554063593324
PN046-01,2.23022537038513,0.8413575789042,0.662319404943428
PN040-01,2.22679454443550,0.82960928441978,0.621398849197897
PN052-01,2.2103997191177,0.788715394712907,0.649888692445566
CC036-01,2.15335475695190,0.806972822852609,0.686767255385861
CD010-01,2.14144073862628,0.754369611217867,0.580512528333798
CD030-01,2.14121662206651,0.78624351949169,0.569290799798796
CD036-01,2.11893103381782,0.804179141775164,0.541645851999767
PL029-01,2.10212937108632,0.767198011731495,0.6614517825383
CB003-01,2.07117076907873,0.768538614929429,0.597613559476812
PN044-01,2.06967048785345,0.790635248532381,0.582128796409996
PL033-01,2.05255878457734,0.719326754901193,0.552718177460584
CB030-01,2.03547060245788,0.780291362197792,0.57250951728343
PN039-01,2.01078086701122,0.72652079018474,0.585552812889032
CA019-01,2.00919601318294,0.794451924481193,0.552343209193997
MC_gDNA+veControl,1.98681995260117,0.815909532654362,0.674770292968893
PL034-01,1.96311461739680,0.740459900183803,0.521938359303386
PN038-01,1.95954980061095,0.75370090508864,0.565406555943274
CB036-01,1.94824778565928,0.757849780514153,0.517985676308536
CC010-01,1.91986414089,0.713492779405118,0.535748289282695
CB053-02,1.90532669259064,0.696479920269255,0.549761074134778
PL046-01,1.86536276562875,0.733755681699714,0.559798403709223
CC030-01,1.85093977332269,0.734406172305463,0.539006019272631
PN006-01,1.84427609393605,0.686749196175155,0.566059376207437
CD007-01,1.77514341031098,0.675785952240979,0.521917198890549
CB028-01,1.76506974755748,0.651280579994811,0.492552091357978
PL025-01,1.7529502076667,0.716967095217512,0.455294287130218
PL006-01,1.71148229767374,0.686873767258383,0.513618624681519
PN021-01,1.70772037613264,0.692459379847489,0.570051066047595
PL038-01,1.70116774084075,0.680900095489345,0.495391403502858
PN025-01,1.70000596029392,0.705662869009818,0.470796069426299
Water-veControl,1.65809923782915,0.77810650887574,0.852094449804946
PN042-01,1.65283493928385,0.724904755015432,0.626297474001754
PN036-01,1.51167117444706,0.550632491913198,0.425182330478717
PL039-01,1.47367023489532,0.569573126579336,0.402250699521372
PN037-01,1.24129182655400,0.628001457150555,0.395883947177421
PL043-01,1.17751460498752,0.428776552281138,0.349691462954193
CB026-01,1.17596419022131,0.42658473339157,0.345750057483173
PL044-01,1.15887367062249,0.430594201800633,0.325952241687699
CD023-01,1.1437169038025,0.574647525964244,0.375663811713514
PL053-01,1.13409442725911,0.445274820031935,0.340343584493703
PL042-01,1.11166892918129,0.514376283057602,0.354543447579561
PL036-01,1.07308460096089,0.400582395798476,0.294999088362928
PN030-01,1.03972077083992,0.625,0.946394630357186
PL037-01,0.686242235743507,0.316108680795833,0.233063833415824
PN032-01,0.529080236915237,0.284761564489141,0.164368017190256
PL032-01,0.448394996770298,0.179365653548248,0.152285375904525
PL021-01,0.421976200276204,0.15044745333166,0.131094277392164
PN031-01,0,0,0
PL051-01,0,0,NaN
