sample_id	total	negative_regulation_of_snRNA_transcription_by_RNA_polymerase_II	Remaining
0159_AA34_42411_20190504_ST	3804752	0	3804752
0159_AP39_21401_20180607_ST_E21	3778489	0	3778489
0159_AA34_42257_20181004_ST	3770016	0	3770016
0159_AB18_26507_20190724_ST	3769919	0	3769919
0159_AA34_42435_20190518_ST	3735192	0	3735192
0159_AA34_42281_20181017_ST	3722222	0	3722222
0159_AJ09_750041_20190718_ST	3712172	0	3712172
0159_AQ29_10043_20171205_ST	3695873	0	3695873
0159_AP39_21386_20180320_ST_E21	3691665	0	3691665
0159_AQ29_10137_20190311_ST	3663542	0	3663542
0159_AB18_26815_20201210_ST	3660299	0	3660299
0159_AQ29_10066_20180313_ST	3623651	0	3623651
0159_AQ29_10079_20180418_ST	3618829	0	3618829
0159_AB18_30120_20190320_ST	3615306	0	3615306
0159_AY44_33270_20191025_ST	3605141	0	3605141
0159_AZ03_32092_20191205_ST	3603026	0	3603026
0159_AA34_42175_20180807_ST	3592993	0	3592993
0159_AZ03_32026_20180802_ST	3583669	0	3583669
0159_AY44_33181_20190529_ST	3583048	0	3583048
0159_AA34_42427_20190604_ST	3581500	0	3581500
0159_AQ29_10070_20180328_ST	3555720	0	3555720
0159_AP39_21388_20180307_ST_E21	3542996	0	3542996
0159_AQ29_10122_20180925_ST	3541544	0	3541544
0159_AP39_21366_20180409_ST_E21	3492634	0	3492634
0159_AA34_42089_20180515_ST	3488188	0	3488188
0159_AQ29_10105_20180712_ST	3478498	0	3478498
0159_AB18_26491_20190502_ST	3472509	0	3472509
0159_BA21_18007_20171111_ST	3445268	0	3445268
0159_AB18_26633_20191009_ST	3444256	0	3444256
0159_AK37_71027_00/00/00_ST	3428541	0	3428541
0159_AS41_40093_20191022_ST	3422399	0	3422399
0159_AZ03_32068_20190211_STLS	3397677	0	3397677
0159_AB10_26016_20180423_ST	3384648	0	3384648
0159_AZ03_32016_20180619_STHS	3375767	0	3375767
0159_AA34_42003_20180313_ST	3373812	0	3373812
0159_AA34_42131_20190211_ST	3370407	0	3370407
0159_AQ29_10145_20190623_ST	3359861	0	3359861
0159_AB18_26442_20190220_ST	3341463	0	3341463
0159_AY44_33251_20191023_ST	3340638	0	3340638
0159_AA34_42132_20190220_ST	3338207	0	3338207
0159_AB18_100901_20190301_ST	3324730	0	3324730
0159_AY44_33014_20171028_ST	3321780	0	3321780
0159_AA34_42167_20190116_ST	3316691	0	3316691
0159_AA34_42098_20180531_ST	3305325	0	3305325
0159_AK37_71022_20180922_ST	3269955	0	3269955
0159_AY44_33042_20170924_ST	3269181	0	3269181
0159_AY44_33038_20170923_ST	3263429	0	3263429
0159_AB18_26819_20210307_ST	3260220	0	3260220
0159_AQ29_10031_20171026_ST	3256320	0	3256320
0159_AQ22_10403_20170906_ST	3249120	0	3249120
0159_AK37_71032_20180824_ST	3234933	0	3234933
0159_AY44_33310_20200114_ST	3228790	0	3228790
0159_AP39_21009_20171107_ST	3222998	0	3222998
0159_AB18_100772_20190909_ST	3178171	0	3178171
0159_AQ11_10133_20181210_ST	3164629	0	3164629
0159_AB18_26387_20190207_ST	3156105	0	3156105
0159_AB18_26541_20190911_ST	3143097	0	3143097
0159_AB18_100802_20190911_ST	3139420	0	3139420
0159_AA34_42497_20191019_ST	3136971	0	3136971
0159_AB18_103908_20190628_ST	3125230	0	3125230
0159_AY44_33046_20171003_ST	3112919	0	3112919
0159_AC15_76048_20201027_ST	3109130	0	3109130
0159_AA34_42168_20190116_ST	3108550	0	3108550
0159_AB10_26109_20180907_ST	3106290	0	3106290
0159_AZ03_32086_20191018_ST	3096584	0	3096584
0159_AA34_42177_20180806_ST	3090368	0	3090368
0159_AY44_33000_20171025_ST	3088764	0	3088764
0159_AB18_26458_20190312_ST	3068596	0	3068596
0159_AP39_21380_20180330_ST_E21	3067327	0	3067327
0159_AH05_15001_20171211_ST	3056902	0	3056902
0159_AB10_26216_20180827_ST	3009732	0	3009732
0159_AQ29_10017_20170918_ST	3001949	0	3001949
0159_AY44_33019_20170913_ST	2997732	0	2997732
0159_AA34_42129_20190318_ST	2985034	0	2985034
0159_AA34_42439_20190621_ST	2983575	0	2983575
0159_AQ29_10001_20170619_ST	2972469	0	2972469
0159_AB10_26355_20190211_ST	2971301	0	2971301
0159_AB18_26337_20190206_ST	2953829	0	2953829
0159_AB10_103180_20180801_ST	2947891	0	2947891
0159_AP39_21406_20180531_ST_E21	2943525	0	2943525
0159_AA34_42318_20190102_ST	2939657	0	2939657
0159_AP39_21020_20171127_ST	2937181	0	2937181
0159_AB18_30364_20190723_ST	2925496	0	2925496
0159_AA34_42165_20180723_ST	2918847	0	2918847
0159_AB10_26152_20180803_ST	2875436	0	2875436
0159_AB10_26220_20180907_ST	2869052	0	2869052
0159_AP39_21104_20180817_ST	2863945	0	2863945
0159_AQ22_10445_20191107_ST	2853841	0	2853841
0159_AZ03_32062_20191002_ST	2843207	0	2843207
0159_AA34_42436_20190628_ST	2840418	0	2840418
0159_AP39_21447_20180809_ST_E21	2825100	0	2825100
0159_AA34_42143_20180613_ST	2821354	0	2821354
0159_AY44_33244_20191018_ST	2819365	0	2819365
0159_AQ29_10111_20180816_ST	2815018	0	2815018
0159_AK37_71067_20190831_ST	2795794	0	2795794
0159_AK37_71028_20180917_ST	2795635	0	2795635
0159_AY44_33309_20200130_ST	2791577	0	2791577
0159_AB10_103179_20180717_ST	2789959	0	2789959
0159_AB18_26423_20190311_ST	2785379	0	2785379
0159_AV42_66185_20190913_ST	2783152	0	2783152
0159_AY44_33242_20191007_ST	2780786	0	2780786
0159_AA34_42111_20180531_ST	2774020	0	2774020
0159_AB10_26504_20190520_ST	2771561	0	2771561
0159_AA34_42250_20180920_ST	2758467	0	2758467
0159_AY44_33001_20170915_ST	2756823	0	2756823
0159_BA21_18028_20180102_ST	2753628	0	2753628
0159_AB10_26205_20181105_ST	2752625	0	2752625
0159_AZ03_32087_20191111_STLS	2739361	0	2739361
0159_AJ09_750054_20191020_ST	2734195	0	2734195
0159_AB18_26428_20190409_ST	2732287	0	2732287
0159_AA34_42455_20190812_ST	2718597	0	2718597
0159_AA34_42097_20180525_ST	2699752	0	2699752
0159_AP39_21389_20180425_ST_E21	2690211	0	2690211
0159_AB18_100660_20190502_ST	2688229	0	2688229
0159_BE31_82027_20191115_ST	2686570	0	2686570
0159_AB10_26204_20180827_ST	2671910	0	2671910
0159_AA34_42083_20180504_ST	2671740	0	2671740
0159_AB10_26010_20180604_ST	2669930	0	2669930
0159_AY44_33047_20170930_ST	2626485	0	2626485
0159_AY44_33295_20200114_ST	2619570	0	2619570
0159_AB18_105395_20190806_ST	2618929	0	2618929
0159_AY44_33246_20191002_ST	2608045	0	2608045
0159_AQ11_10129_20181025_ST	2598644	0	2598644
0159_AB18_26416_20190419_ST	2588254	0	2588254
0159_AB10_26047_20180425_ST	2557355	0	2557355
0159_AB18_26625_20191024_ST	2539381	0	2539381
0159_AY44_33006_20170914_ST	2534957	0	2534957
0159_AB18_100782_20190724_ST	2525666	0	2525666
0159_AB10_103853_20180919_ST	2524340	0	2524340
0159_AP39_21414_20180831_ST_E21	2512689	0	2512689
0159_AB18_26484_20191018_ST	2511639	0	2511639
0159_AY44_33273_20191111_ST	2504614	0	2504614
0159_AK37_71001_20180227_ST	2500025	0	2500025
0159_AA34_42501_20191207_ST	2490544	0	2490544
0159_AA34_42172_20190116_ST	2467940	0	2467940
0159_AY44_33011_20171005_ST	2459273	0	2459273
0159_AY44_33313_20200205_ST	2446502	0	2446502
0159_AA34_42127_20190206_ST	2439533	0	2439533
0159_AK37_71038_20181007_ST	2435629	0	2435629
0159_AJ09_750012_20190215_ST	2433190	0	2433190
0159_AQ29_10000_20170613_ST	2409094	0	2409094
0159_AB10_26199_20181001_ST	2403232	0	2403232
0159_AQ29_10021_20170912_ST	2388181	0	2388181
0159_AB10_30154_20181102_ST	2387599	0	2387599
0159_AA34_42246_20180801_ST	2382694	0	2382694
0159_AA34_42433_20190617_ST	2371086	0	2371086
0159_AB10_26133_20180725_ST	2358957	0	2358957
0159_AA34_42139_201900301_ST	2342798	0	2342798
0159_AQ29_10103_20180714_ST	2338072	0	2338072
0159_AQ29_10116_20180903_ST	2334236	0	2334236
0159_AJ09_750049_20191008_ST	2332218	0	2332218
0159_AA34_42273_20190102_ST	2324634	0	2324634
0159_AA34_42366_20190305_ST	2324475	0	2324475
0159_AB18_100724_20190318_ST	2320367	0	2320367
0159_AJ09_750044_20190805_ST	2314106	0	2314106
0159_AA34_42256_20180919_ST	2304716	0	2304716
0159_AY44_33278_20191106_ST	2294038	0	2294038
0159_AS41_40075_20190608_ST	2293955	0	2293955
0159_AB10_101123_20190227_ST	2289992	0	2289992
0159_AB18_26710_20201214_ST	2281340	0	2281340
0159_AQ11_10132_20181031_ST	2267487	0	2267487
0159_AA34_42445_20190716_ST	2264228	0	2264228
0159_AK37_71002_20180215_ST	2261945	0	2261945
0159_AB10_103815_20181107_ST	2259037	0	2259037
0159_AB10_26380_20190313_ST	2258550	0	2258550
0159_AK37_71005_20180413_ST	2242024	0	2242024
0159_AY44_33025_20170915_ST	2241949	0	2241949
0159_AA34_42394_20190415_ST	2223965	0	2223965
0159_AB10_30009_20190408_ST	2218096	0	2218096
0159_AB18_26464_20190916_ST	2208775	0	2208775
0159_AP39_21358_20180320_ST_E21	2207940	0	2207940
0159_AQ29_10130_20181021_ST	2196866	0	2196866
0159_AY44_33274_20191126_ST	2188662	0	2188662
0159_AJ09_760030_20190822_ST	2183948	0	2183948
0159_AB10_26154_20181106_ST	2171037	0	2171037
0159_AA34_42212_201800907_ST	2170221	0	2170221
0159_AB10_26131_20180920_ST	2133068	0	2133068
0159_AY44_33255_20191018_ST	2131253	0	2131253
0159_AJ09_750014_20191031_ST	2121964	0	2121964
0159_AV42_66141_20190731_ST	2121350	0	2121350
0159_AA34_42108_20180523_ST	2112356	0	2112356
0159_AK37_71030_20181005_ST	2071982	0	2071982
0159_AA34_42258_20181005_ST	2070438	0	2070438
0159_AV42_66166_20190824_ST	2064627	0	2064627
0159_AN08_59000_20171012_ST	2058705	0	2058705
0159_AN08_59001_20171018_ST	2055007	0	2055007
0159_AP39_21147_20180112_ST	2049573	0	2049573
0159_AJ09_750038_20191031_ST	2046112	0	2046112
0159_AQ29_10083_20180506_ST	2042407	0	2042407
0159_AB10_26040_20180417_ST	2039433	0	2039433
0159_AJ09_750002_20190916_ST	2037328	0	2037328
0159_AZ03_32017_20180615_STLS	2029493	0	2029493
0159_AQ22_10415_20190605_ST	2014470	0	2014470
0159_AB10_26348_20190115_ST	2007296	0	2007296
0159_AZ03_32087_20191111_STHS	2006198	0	2006198
0159_AB18_26592_20191024_ST	1997984	0	1997984
0159_AZ03_32085_20191015_ST	1980689	0	1980689
0159_AB10_26135_20180925_ST	1977314	0	1977314
0159_AB10_103277_20190425_ST	1974412	0	1974412
0159_AQ22_10417_20190329_ST	1970226	0	1970226
0159_AA34_42448_20190731_ST	1968245	0	1968245
0159_AB18_26547_20190821_ST	1960585	0	1960585
0159_AB18_26476_20190924_ST	1957374	0	1957374
0159_AS41_40099_20191031_ST	1949726	0	1949726
0159_AV42_66168_20190824_ST	1947831	0	1947831
0159_AJ09_750050_20190815_ST	1943259	0	1943259
0159_AZ03_32012_20180518_ST	1941495	0	1941495
0159_AZ03_32000_20171102_ST	1927870	0	1927870
0159_AY44_33087_20171115_ST	1923766	0	1923766
0159_AA34_42114_20180813_ST	1913781	0	1913781
0159_AQ29_10015_20170822_ST	1913299	0	1913299
0159_AK37_71039_20181023_ST	1911945	0	1911945
0159_AY44_33308_20200110_ST	1898544	0	1898544
0159_AQ22_10420_20190823_ST	1892826	0	1892826
0159_AJ09_750027_20191001_ST	1881345	0	1881345
0159_AJ09_750004_20190922_ST	1872824	0	1872824
0159_AY44_33259_20191007_ST	1870696	0	1870696
0159_AZ03_32079_20190619_ST	1859889	0	1859889
0159_AV42_66192_20191019_ST	1852860	0	1852860
0159_AY44_33037_20171009_ST	1844237	0	1844237
0159_AP39_21156_20180210_ST	1839568	0	1839568
0159_AB18_101080_20190909_ST	1833738	0	1833738
0159_AB18_30304_20191002_ST	1832785	0	1832785
0159_AZ03_32017_20180615_STHS	1832327	0	1832327
0159_AY44_33028_20170919_ST	1829647	0	1829647
0159_AB10_26147_20181010_ST	1820191	0	1820191
0159_AK37_71047_20190117_ST	1815851	0	1815851
0159_AK37_71073_20200105_ST	1811327	0	1811327
0159_AA34_42471_20190830_ST	1804547	0	1804547
0159_AA34_42151_20180907_ST	1802298	0	1802298
0159_AJ09_750041_20191126_ST	1801283	0	1801283
0159_AB10_26175_20181010_ST	1800062	0	1800062
0159_AP39_21127_20180218_ST	1799924	0	1799924
0159_AV42_66144_20190909_ST	1792268	0	1792268
0159_AY44_33086_20171029_ST	1779079	0	1779079
0159_AB10_103832_20190306_ST	1768156	0	1768156
0159_AB10_26069_20180516_ST	1763919	0	1763919
0159_AZ03_32018_20180723_STLS	1761467	0	1761467
0159_AB18_2646_20190328_ST	1753136	0	1753136
0159_AQ22_10401_20171013_ST	1752822	0	1752822
0159_AY44_33303_20200127_ST	1743545	0	1743545
0159_AA34_42461_20190814_ST	1735381	0	1735381
0159_AY44_33282_20191127_ST	1730456	0	1730456
0159_AZ03_32098_20200124_ST	1725269	0	1725269
0159_AB10_26201_20180917_ST	1712073	0	1712073
0159_AK37_71040_20181106_ST	1707601	0	1707601
0159_AZ03_32084_20190614_ST	1706846	0	1706846
0159_AB10_26024_20180430_ST	1704077	0	1704077
0159_AP39_21137_20180210_ST	1698217	0	1698217
0159_AB10_101812_20190109_ST	1687860	0	1687860
0159_AY44_33265_20191106_ST	1686648	0	1686648
0159_AA34_42197_20180809_ST	1685224	0	1685224
0159_AY44_33283_20191212_ST	1679114	0	1679114
0159_AS41_40100_20191102_ST	1672483	0	1672483
0159_AJ09_750026_20191016_ST	1672338	0	1672338
0159_AQ29_10004_20170630_ST	1669798	0	1669798
0159_BE31_82021_20191230_ST	1657963	0	1657963
0159_AY44_33280_20191213_ST	1654543	0	1654543
0159_AY44_33159_20190508_ST	1652288	0	1652288
0159_AP39_21402_20180611_ST_E21	1635347	0	1635347
0159_AP39_21699_20180811_ST	1634687	0	1634687
0159_AB10_26008_20180410_ST	1634092	0	1634092
0159_AA34_42489_20190928_ST	1633293	0	1633293
0159_AB10_26254_20181210_ST	1630215	0	1630215
0159_AN38_59010_20180102_ST	1626628	0	1626628
0159_AY44_33261_20191002_ST	1624461	0	1624461
0159_AB10_103250_20181203_ST	1619300	0	1619300
0159_AP39_21144_20180121_ST	1618834	0	1618834
0159_AP39_21133_20180203_ST	1608115	0	1608115
0159_AB18_105120_20191018_ST	1606522	0	1606522
0159_AB10_26406_20190116_ST	1606123	0	1606123
0159_AB10_26269_20181101_ST	1606049	0	1606049
0159_AY44_33305_20200110_ST	1593602	0	1593602
0159_AJ09_760049_20191008_ST	1581197	0	1581197
0159_AP39_21010_20171118_ST	1567893	0	1567893
0159_AY44_33285_20191118_ST	1561450	0	1561450
0159_AS41_40087_20190717_ST	1545632	0	1545632
0159_AA34_42183_20180730_ST	1544716	0	1544716
0159_AQ29_10077_20180415_ST	1539934	0	1539934
0159_AJ09_750044_20191116_ST	1536348	0	1536348
0159_AV42_66170_20190905_ST	1525000	0	1525000
0159_AP39_21356_20180515_ST_E21	1524643	0	1524643
0159_AJ09_750005_20190925_ST	1520789	0	1520789
0159_AZ03_32052_20190827_STHS	1518716	0	1518716
0159_AZ03_32054_20190917_STLS	1518713	0	1518713
0159_AA34_42487_20190921_ST	1514595	0	1514595
0159_AZ03_32093_20191209_ST	1504048	0	1504048
0159_AY44_33272_20191114_ST	1498277	0	1498277
0159_AB10_101585_20180920_ST	1498090	0	1498090
0159_AS41_40071_20190501_ST	1492109	0	1492109
0159_AP39_21014_20171107_ST	1487599	0	1487599
0159_AP39_21131_20180213_ST	1482548	0	1482548
0159_AA34_42460_20191014_ST	1479750	0	1479750
0159_AP39_21403_20180907_ST_E21	1463052	0	1463052
0159_AB10_26137_20180827_ST	1452465	0	1452465
0159_AP39_21167_20171214_ST	1449636	0	1449636
0159_AP39_21033_20171106_ST	1445951	0	1445951
0159_AK37_71037_20181003_ST	1426602	0	1426602
0159_AZ03_32051_20190819_STHS	1425451	0	1425451
0159_AB10_26420_20190311_ST	1423082	0	1423082
0159_AB10_26298_20181218_ST	1420272	0	1420272
0159_AQ29_10042_20171130_ST	1418754	0	1418754
0159_AQ29_10104_20180715_ST	1414224	0	1414224
0159_AP39_21027_20171120_ST	1409714	0	1409714
0159_AS41_40088_20191004_ST	1407157	0	1407157
0159_AB10_26267_20190116_ST	1402750	0	1402750
0159_AP39_21040_20171006_ST	1399885	0	1399885
0159_AB10_26118_20180813_ST	1379135	0	1379135
0159_AK37_71041_20181122_ST	1376364	0	1376364
0159_AY44_33252_20190930_ST	1375754	0	1375754
0159_AK37_71012_20180504_ST	1369496	0	1369496
0159_BC12_41004_20171127_ST	1368344	0	1368344
0159_AY44_33260_20191106_ST	1367865	0	1367865
0159_AP39_21210_20180228_ST	1359005	0	1359005
0159_AA34_42423_20190503_ST	1349706	0	1349706
0159_AA34_42117_20180619_ST	1331847	0	1331847
0159_AB10_100707_20181102_ST	1330783	0	1330783
0159_AA34_42146_20180730_ST	1314625	0	1314625
0159_AY44_33186_20190530_ST	1306867	0	1306867
0159_AB10_106685_20190116_ST	1303449	0	1303449
0159_BC12_41001_20171018_ST	1300088	0	1300088
0159_AK37_71025_20181010_ST	1296422	0	1296422
0159_BA21_18022_20171205_ST	1284789	0	1284789
0159_AZ03_32051_20190819_STLS	1283692	0	1283692
0159_AA34_42090_20180515_ST	1283223	0	1283223
0159_AZ03_32018_20180723_STHS	1276215	0	1276215
0159_AQ29_10072_20180330_ST	1275551	0	1275551
0159_AB10_101383_20190318_ST	1245349	0	1245349
0159_AZ03_32052_20190827_STLS	1244511	0	1244511
0159_AA34_42492_20191121_ST	1240669	0	1240669
0159_AA34_42295_20181127_ST	1233524	0	1233524
0159_AQ29_10142_20190319_ST	1229416	0	1229416
0159_AQ22_10435_20191009_ST	1214477	0	1214477
0159_AA34_42236_20181116_ST	1206265	0	1206265
0159_AZ03_32055_20190830_STHS	1203916	0	1203916
0159_AY44_33271_20191119_ST	1202783	0	1202783
0159_AB10_26721_20201210_ST	1199466	0	1199466
0159_AB18_26436_20191018_ST	1195515	0	1195515
0159_AB18_26471_20190911_ST	1190330	0	1190330
0159_AA34_42504_20191031_ST	1179662	0	1179662
0159_AV42_66207_20190915_ST	1178818	0	1178818
0159_AN38_59050_20181119_ST	1175637	0	1175637
0159_BE31_82033_20191106_ST	1175014	0	1175014
0159_AB10_26036_20180417_ST	1175006	0	1175006
0159_AQ29_10088_20180605_ST	1173112	0	1173112
0159_AJ09_750030_20190922_ST	1168566	0	1168566
0159_AQ29_10093_20180612_ST	1165687	0	1165687
0159_AK37_71069_20190718_ST	1155913	0	1155913
0159_AY44_33281_20191203_ST	1136252	0	1136252
0159_AQ29_10084_20180505_ST	1134646	0	1134646
0159_AB10_26098_20180626_ST	1128908	0	1128908
0159_AB18_102750_20191024_ST	1126562	0	1126562
0159_AQ29_10047_20180102_ST	1123443	0	1123443
0159_AA34_42441_20190629_ST	1116678	0	1116678
0159_AB10_26364_20190311_ST	1101448	0	1101448
0159_BE31_82028_20191226_ST	1100482	0	1100482
0159_AB10_100722_20190318_ST	1094546	0	1094546
0159_AB10_26213_20181121_ST	1089182	0	1089182
0159_AQ29_10057_20180226_ST	1088791	0	1088791
0159_AY44_33026_20171014_ST	1084742	0	1084742
0159_AZ03_32054_20190917_STHS	1074438	0	1074438
0159_AB10_26296_20190103_ST	1070070	0	1070070
0159_AB18_26832_20210112_ST	1070000	0	1070000
0159_AB10_26151_20180725_ST	1069476	0	1069476
0159_AB10_26080_20180706_ST	1061997	0	1061997
0159_AB10_26064_20180516_ST	1046152	0	1046152
0159_AB10_103281_20180518_ST	1045570	0	1045570
0159_AA34_42157_20180706_ST	1039069	0	1039069
0159_AK37_71026_20180902_ST	1036160	0	1036160
0159_AA34_42292_20181127_ST	1021463	0	1021463
0159_AA34_42255_20180920_ST	1014298	0	1014298
0159_AK37_71064_20190705_ST	996805	0	996805
0159_BE31_82031_20200116_ST	992379	0	992379
0159_AB18_101695_20191018_ST	990572	0	990572
0159_AQ29_10074_20180405_ST	986347	0	986347
0159_AJ09_750060_20191112_ST	981427	0	981427
0159_AK37_71070_20190824_ST	979397	0	979397
0159_AB10_30135_20181217_ST	978828	0	978828
0159_AB10_26303_20190125_ST	965658	0	965658
0159_AA34_42403_20190422_ST	959223.999999999	0	959223.999999999
0159_AV42_66154_20190902_ST	955340	0	955340
0159_AA34_42122_20180605_ST	953292	0	953292
0159_AA34_42294_20181129_ST	951006	0	951006
0159_AP39_21099_20171122_ST	948546	0	948546
0159_AV42_66140_20190602_ST	945275	0	945275
0159_AQ29_10081_20180424_ST	939912	0	939912
0159_AA34_42372_20190318_ST	936779	0	936779
0159_AB18_26636_20191029_ST	932558	0	932558
0159_AP39_21037_20171123_ST	930654	0	930654
0159_AV42_66180_20190913_ST	929365	0	929365
0159_AQ22_10402_20180123_ST	927668	0	927668
0159_AQ29_10076_20180501_ST	926771	0	926771
0159_AY44_33293_20191206_ST	916252	0	916252
0159_AQ29_10002_20170630_ST	912260	0	912260
0159_AA34_42103_20180813_ST	908343	0	908343
0159_AJ09_750035_20191010_ST	903667	0	903667
0159_AQ29_10118_20180912_ST	895543	0	895543
0159_AA34_42288_20181031_ST	894057	0	894057
0159_AQ29_10025_20171011_ST	893492	0	893492
0159_AY44_33039_20170920_ST	892877	0	892877
0159_AA34_42184_20180725_ST	890156	0	890156
0159_AB10_103292_20190425_ST	879316	0	879316
0159_AB18_26429_20190327_ST	874053	0	874053
0159_AA34_42203_20180814_ST	872639	0	872639
0159_BE31_82028_20200116_ST	871916	0	871916
0159_AS41_40102_20191114_ST	871126	0	871126
0159_AB10_26264_20181015_ST	870698	0	870698
0159_AQ22_10442_20191101_ST	866691	0	866691
0159_AY44_33030_20170915_ST	864032	0	864032
0159_AY44_33257_20191029_ST	863679	0	863679
0159_BE31_82025_20200108_ST	859781	0	859781
0159_AB10_26304_20190107_ST	854250	0	854250
0159_AN38_59011_20171127_ST	831492	0	831492
0159_BE31_82021_20191121_ST	828618	0	828618
0159_AB10_26007_20180504_ST	825471	0	825471
0159_AN08_59020_20180815_ST	823008	0	823008
0159_AQ22_10413_20190523_ST	822650	0	822650
0159_AB10_100704_20181210_ST	820608	0	820608
0159_AA34_42272_20181010_ST	810001	0	810001
0159_BA21_18014_20171018_ST	807111	0	807111
0159_BA21_18017_20171206_ST	799592	0	799592
0159_AQ29_10095_20180619_ST	795116	0	795116
0159_AY44_33041_20170920_ST	788652	0	788652
0159_BC45_41009_20171103_ST	786306	0	786306
0159_AA34_42462_20190813_ST	776962	0	776962
0159_AB10_26454_20190330_ST	762176	0	762176
0159_AZ03_32073_20190317_ST	760799	0	760799
0159_AB10_26273_20190318_ST	756593	0	756593
0159_AQ22_10409_20190506_ST	754236	0	754236
0159_AS41_40097_20191022_ST	753994	0	753994
0159_AP39_21198_20180807_ST	752585	0	752585
0159_AY44_33021_20170916_ST	751328	0	751328
0159_AA34_42378_20190328_ST	743099	0	743099
0159_AA34_42216_201800907_ST	742173	0	742173
0159_AP39_21128_20180209_ST	741282	0	741282
0159_AP39_21138_20180113_ST	735968	0	735968
0159_AP39_21041_20171002_ST	730063	0	730063
0159_AS41_40065_20190328_ST	724583	0	724583
0159_AA34_42422_20190602_ST	723392	0	723392
0159_AQ29_10152_20190819_ST	717089	0	717089
0159_AB10_101445_20190131_ST	708068	0	708068
0159_AA34_42247_20181112_ST	706049	0	706049
0159_AA34_42086_20180514_ST	700778	0	700778
0159_AQ29_10139_20190306_ST	697425	0	697425
0159_AA34_42332_20190117_ST	697016	0	697016
0159_AB10_26157_20180911_ST	697004	0	697004
0159_AB10_26050_20180504_ST	696877	0	696877
0159_AB10_103154_20190107_ST	695825	0	695825
0159_AQ22_10422_20191101_ST	695679	0	695679
0159_AA34_42400_20190423_ST	694052	0	694052
0159_BE31_82018_20191205_ST	693078	0	693078
0159_AS41_40089_20190724_ST	691544	0	691544
0159_AA34_42227_201801105_ST	690002	0	690002
0159_AB10_26270_20181205_ST	689049	0	689049
0159_AA34_42245_20181108_ST	687986	0	687986
0159_AA34_42085_20180717_ST	686961	0	686961
0159_AA34_42303_20181205_ST	682110	0	682110
0159_AY44_33004_20170919_ST	679411	0	679411
0159_AN08_59012_20180123_ST	678922	0	678922
0159_AA34_42513_20191124_ST	675913	0	675913
0159_AQ29_10101_20180627_ST	673778	0	673778
0159_AA34_42407_20190423_ST	672678	0	672678
0159_BE31_82029_20200116_ST	660677	0	660677
0159_AY44_33083_20171115_ST	657835	0	657835
0159_AN08_59008_20171127_ST	657695	0	657695
0159_AA34_42148_20180706_ST	652926	0	652926
0159_AB10_26400_20190109_ST	652842	0	652842
0159_AJ09_750053_20190928_ST	652653	0	652653
0159_AS41_40101_20191130_ST	650198	0	650198
0159_AB10_26358_20190206_ST	648245	0	648245
0159_AN38_59047_20181017_ST	648005	0	648005
0159_AS41_40068_20190430_ST	646644	0	646644
0159_AS41_40081_20190607_ST	637782	0	637782
0159_AQ29_10082_20180427_ST	629890	0	629890
0159_AP39_21049_20171023_ST	628483	0	628483
